timestamp,gateway_address,schedule_id,connected_nodes,tx_total,rx_total,tx_rate_1s,rx_rate_1s,avg_latency_ms
2025-09-05T17:57:22.448407,0x24374C76B5CF8604,6,10,0,0,0,0,36.62
2025-09-05T17:57:24.511434,0x24374C76B5CF8604,6,10,0,0,0,0,36.72
2025-09-05T17:57:26.599240,0x24374C76B5CF8604,6,10,0,0,0,0,38.42
2025-09-05T17:57:28.664564,0x24374C76B5CF8604,6,10,0,0,0,0,37.86
2025-09-05T17:57:30.743909,0x24374C76B5CF8604,6,10,0,0,0,0,44.69
2025-09-05T17:57:32.803200,0x24374C76B5CF8604,6,10,0,0,0,0,43.89
2025-09-05T17:57:34.885137,0x24374C76B5CF8604,6,10,0,0,0,0,43.82
2025-09-05T17:57:36.949809,0x24374C76B5CF8604,6,10,0,0,0,0,40.12
2025-09-05T17:57:39.037848,0x24374C76B5CF8604,6,10,0,0,0,0,36.53
2025-09-05T17:57:41.108601,0x24374C76B5CF8604,6,10,0,0,0,0,35.33
2025-09-05T17:57:43.183541,0x24374C76B5CF8604,6,10,0,0,0,0,35.38
2025-09-05T17:57:45.245143,0x24374C76B5CF8604,6,10,0,0,0,0,35.52
2025-09-05T17:57:47.341285,0x24374C76B5CF8604,6,10,0,0,0,0,41.19
2025-09-05T17:57:49.397903,0x24374C76B5CF8604,6,10,0,0,0,0,41.46
2025-09-05T17:57:51.492566,0x24374C76B5CF8604,6,10,0,0,0,0,42.22
2025-09-05T17:57:53.558962,0x24374C76B5CF8604,6,10,0,0,0,0,42.89
2025-09-05T17:57:55.636033,0x24374C76B5CF8604,6,10,0,0,0,0,42.65
2025-09-05T17:57:57.702402,0x24374C76B5CF8604,6,10,0,0,0,0,41.45
2025-09-05T17:57:59.784910,0x24374C76B5CF8604,6,10,0,0,0,0,40.24
2025-09-05T17:58:01.849110,0x24374C76B5CF8604,6,10,0,0,0,0,40.86
2025-09-05T17:58:03.928235,0x24374C76B5CF8604,6,10,0,0,0,0,36.14
2025-09-05T17:58:05.979966,0x24374C76B5CF8604,6,10,0,0,0,0,37.99
2025-09-05T17:58:08.071506,0x24374C76B5CF8604,6,10,0,0,0,0,40.47
2025-09-05T17:58:10.108402,0x24374C76B5CF8604,6,10,0,0,0,0,40.24
2025-09-05T17:58:12.193775,0x24374C76B5CF8604,6,10,0,0,0,0,42.93
2025-09-05T17:58:14.261083,0x24374C76B5CF8604,6,10,0,0,0,0,41.53
2025-09-05T17:58:16.345820,0x24374C76B5CF8604,6,10,0,0,0,0,37.90
